row_id,source_id,dialect,split,granularity,source_text_raw,source_text_model,target_text_raw,target_text_model,quality_flags,reviewer_id,dialect_authenticity_1_to_5,target_adequacy_1_to_5,target_fluency_1_to_5,label_correct_yes_no,unsafe_or_pii_yes_no,review_notes
61401caa8f3a152042dda9dae1954ac43ae9bc17bf5e80e954fdc6ab864820b6,bd_dialect_v2,CHI,test_ood,phrase,নঁয়কঁ অইয়্যে,নঁয়কঁ অইয়্যে,নায়ক হয়েছে,নায়ক হয়েছে,[],,,,,,,
82b78a67542430bcf663f6df95d8ddf3410cedecc9fbfbf4f7354eaf027d428d,bd_dialect_v2,CHI,test_ood,phrase,গল্পঁ কঁঅনঁওলাঁ অঁঅঅনঁ,গল্পঁ কঁঅনঁওলাঁ অঁঅঅনঁ,গল্পকার হওয়া,গল্পকার হওয়া,[],,,,,,,
a6e14fe096499f50106d98b8b3e1351158e5abdf65b549a71808fe8a3718ac55,bd_dialect_v2,CHI,test_ood,phrase,খবঁর দেওনঁ,খবঁর দেওনঁ,তথ্য দেওয়া,তথ্য দেওয়া,[],,,,,,,
5e3e13ca1e471dd7ab25328a22d5bb43254d68a354dca3d9436585b28a65affe,bd_dialect_v2,CHI,test_ood,word,বাশটবতা,বাশটবতা,বাস্তবতা,বাস্তবতা,[],,,,,,,
940d6751f0bea3df41313c5597cf8c7030c76b99c9255e1004e3aefebe9bc2bd,bd_dialect_v2,CHI,test_ood,phrase,জঁঅগঁঅ গঁরঅনঁ,জঁঅগঁঅ গঁরঅনঁ,সংযোগ করা,সংযোগ করা,[],,,,,,,
46a93ba189cec10e54554f35c393b7d8955cad3a96cedc558744e0c307761ac2,bd_dialect_v2,CHI,test_ood,phrase,ছোড গঁরি,ছোড গঁরি,সংক্ষেপ,সংক্ষেপ,[],,,,,,,
dd77b61c0e88b6216ed9904a0827f206a161bdac9d75190068c4962270dd1326,bd_dialect_v2,CHI,test_ood,phrase,গঁয়কঁ অঁঅনঁ,গঁয়কঁ অঁঅনঁ,গায়ক হওয়া,গায়ক হওয়া,[],,,,,,,
bbd1c458fa55b02764d30a46a8ef04b564d2592ed107555f3bbfd23ff7e4666a,bd_dialect_v2,CHI,test_ood,phrase,চুঁকতিঁ গঁরঅনঁ,চুঁকতিঁ গঁরঅনঁ,চুক্তি করা,চুক্তি করা,[],,,,,,,
eb5bd7a4bd4b2b2248a02bf3fa698b7fd0658e5666f3889b54b0795df7dfb621,bd_dialect_v2,CHI,test_ood,sentence,ছাস্তির লায় ভালা ন'য় ছামানা,ছাস্তির লায় ভালা ন'য় ছামানা,অনুস্বাস্থ্যকর জিনিস,অনুস্বাস্থ্যকর জিনিস,[],,,,,,,
5fdaf11edcfb1ca468c25f9e6df3f34285857356006aee10fd19e4b66eef9e23,bd_dialect_v2,CHI,test_ood,word,নোটিফিকেশন,নোটিফিকেশন,নোটিফিকেশন,নোটিফিকেশন,"[""source_equals_target""]",,,,,,,
