path,bytes,sha256,rows,columns,column_names
figures/q1/source_data/fig_classical_id_class.csv,2609,7a02a0130a2dbb95c7b47a17aa8929205aa2ebef1398fc0e60cb0abe1315528e,39,7,"label_id, dialect, precision, recall, f1, support, split"
figures/q1/source_data/fig_classical_id_floor.csv,536,fee435ac231790c8ae3c4cea7d36848665811cd3fdf42ac8c7fba01da7dcdb8a,8,5,"index, model_id, split, mean, std"
figures/q1/source_data/fig_classical_norm_dialect.csv,9312,269ce44f6b93f34e5926c04d82444c45d4ada178ed8076de67f9b022f851bd1b,60,11,"dialect, rows, chrfpp, sacrebleu, ter, cer, wer, exact_match, number_preservation, model, split"
figures/q1/source_data/fig_classical_norm_floor.csv,4447,d068223b538cb50c30579fb07d76673feadb83b23709c427ac286a71be87cb67,10,18,"model_id, split, rows, corpus_chrfpp, macro_chrfpp, worst_dialect_chrfpp, corpus_sacrebleu, macro_sacrebleu, corpus_ter, cer, wer, exact_match, chrf_signature, bleu_signature, ter_signature, display_id, evidence, test_data_access"
figures/q1/source_data/fig_compute_pareto.csv,990,aeace8c783a3c7d80c818b8bbfe6bc946f15a1546a8e2ac41c2d6b3f1ec2a1f0,4,17,"model_id, batch_size, sequence_length, tokens_per_step, median_step_seconds, mean_step_seconds, tokens_per_second, peak_memory_gib, last_loss, total_parameters, active_parameters_per_token, inactive_expert_parameters_per_token, active_fraction, optimizer_muon_tensors, optimizer_adamw_tensors, grouped_gemm, mtp"
figures/q1/source_data/fig_continuation_lr_stability.csv,502,a0502f2ff462d274d0634025bed864ae4437fc6a24a15d461e3c06d30e9c3147,5,7,"candidate, muon_lr, adamw_lr, final_relative_bpc_change_percent, eligible, selected, schedule"
figures/q1/source_data/fig_data_evaluation_tracks.csv,2764,963131fd48f7cfa153df7525189f9e2ca6de6e77cf837b7aa2bc44dd0f7e89ef,36,5,"evaluation_track, split, rows, task, track"
figures/q1/source_data/fig_data_quality_tiers.csv,660,cf7b4a0bcedfc2001ba4c4aa47b3fc7fa589ac0545df251ca337470fc9bb850e,13,3,"quality_tier, rows, task"
figures/q1/source_data/fig_data_romanized_coverage.csv,98,3869f6b83397ddb90ca750ff9b356f014ea12651d884cb42a7e5be0f8e658668,2,4,"dialect, rows, median_input_characters, median_target_characters"
figures/q1/source_data/fig_data_source_composition.csv,2132,030db988c7a0ff99112f8b5760338b36321455d30627cec39cd1947ea472e676,30,4,"source_id, rows, task, share"
figures/q1/source_data/fig_data_source_dialect_coverage.csv,924,17935d06388652acab83bd271999a80a9bbfc81ec42d96ccd9d9991347fa06a6,31,3,"source_id, dialect, rows"
figures/q1/source_data/fig_data_split_dialect_balance.csv,2652,e7e36b6ac54428b8f7c31abeb60c2bc1cfe573345b92536c6b9f83182f87aacb,84,4,"dialect, split, rows, task"
figures/q1/source_data/fig_data_synthetic_footprint.csv,1093,9b12f490cfd2aa6c126fbc3076aea0db489d4ebbd7dde4b9c8779266b61ca8a0,38,4,"dialect, split, origin, rows"
figures/q1/source_data/fig_data_text_length.csv,1232179,00daf08eaa493c1516d40958e8e821a807ac9f77ce7feccfe165a7e933e7ccbc,13200,5,"row_id, dialect, split, task, characters"
figures/q1/source_data/fig_development_source_blind_fusion.csv,1950,8060c7396fe22b11c322da794b0ad39c865dea81ea4a49781bc804bafb1abe72,36,4,"task, run, system, value"
figures/q1/source_data/fig_foundation_loss_components.csv,100266,b4ea1e4ce60a557e89be7d5bd1ea257dac7f0cf89e13728456c35d9775d15202,456,17,"global_step, microbatch, tokens_seen, loss, lm_loss, mtp_loss, gradient_norm, lr_scale, interval_tokens_per_second, overall_tokens_per_second, peak_memory_gib, variant, tokens_millions, bank_constraint_strength, router_load_cv, router_entropy, router_z_loss"
figures/q1/source_data/fig_foundation_router_dynamics.csv,72451,f2809acd632620ba0d32fe4408a981d14b65afe303ea86859119bd39d59177ab,304,17,"global_step, microbatch, tokens_seen, loss, lm_loss, mtp_loss, gradient_norm, lr_scale, interval_tokens_per_second, overall_tokens_per_second, peak_memory_gib, variant, tokens_millions, bank_constraint_strength, router_load_cv, router_entropy, router_z_loss"
figures/q1/source_data/fig_foundation_router_stability.csv,944,fb253b073faf9f581c85fbd0bd22fd4fbee7c62384f060467c27272cf9907110,2,23,"run_id, architecture, tokens_seen, logged_points, router_load_cv_mean, router_load_cv_max, router_load_cv_final, cv_threshold, stability_start_tokens, stability_logged_points, cv_threshold_exceedances, cv_threshold_exceedance_fraction, longest_consecutive_cv_exceedance, router_entropy_min, router_entropy_final, router_z_loss_max, nonfinite_diagnostic_values, validation_points, validation_bpc_regressions, initial_validation_bpc, final_validation_bpc, persistent_expert_collapse, variant"
